Direction I ,Direction J ,Num other trails ,Other trails
         23 ,         50 ,               1 ,[[22 51]]
         41 ,          8 ,               1 ,[[43 8]]
         25 ,          8 ,               1 ,[[25 10]]
          8 ,         20 ,               1 ,[[7 21]]
         21 ,          4 ,               1 ,[[21 6]]
         43 ,         35 ,               1 ,[[42 36]]
         24 ,         43 ,               1 ,[[25 44]]
         13 ,         38 ,               1 ,[[13 40]]
         37 ,         18 ,               1 ,[[37 20]]
         21 ,         28 ,               1 ,[[20 29]]
         41 ,         27 ,               1 ,[[42 28]]
         38 ,         10 ,               1 ,[[40 10]]
         30 ,         29 ,               1 ,[[32 29]]
         49 ,         37 ,               1 ,[[50 36]]
         24 ,         48 ,               1 ,[[23 47]]
         21 ,         36 ,               1 ,[[21 38]]
         30 ,          8 ,               1 ,[[29 9]]
         41 ,          9 ,               1 ,[[41 11]]
         25 ,          8 ,               1 ,[[25 10]]
         37 ,         17 ,               1 ,[[36 18]]
         14 ,         42 ,               1 ,[[15 43]]
         46 ,         38 ,               1 ,[[47 37]]
         21 ,         27 ,               1 ,[[20 28]]
         22 ,         49 ,               1 ,[[24 49]]
         33 ,          2 ,               1 ,[[34 3]]
         25 ,          8 ,               1 ,[[25 10]]
         17 ,         35 ,               1 ,[[17 37]]
         41 ,         19 ,               1 ,[[42 18]]
         49 ,         38 ,               2 ,[[48 37] [50 37]]
         38 ,         10 ,               1 ,[[40 10]]
         13 ,         50 ,               1 ,[[14 51]]
         20 ,         27 ,               1 ,[[22 27]]
         23 ,          5 ,               1 ,[[22 6]]
         37 ,         47 ,               1 ,[[38 48]]
         13 ,         47 ,               1 ,[[14 48]]
         41 ,         20 ,               1 ,[[42 19]]
         30 ,         13 ,               1 ,[[31 12]]
         50 ,         43 ,               1 ,[[50 45]]
         25 ,         12 ,               1 ,[[24 13]]
         21 ,         11 ,               2 ,[[21 13] [22 12]]
         20 ,         26 ,               1 ,[[19 27]]
         41 ,          2 ,               1 ,[[40 3]]
         28 ,         10 ,               1 ,[[29 11]]
         49 ,         44 ,               1 ,[[48 45]]
         40 ,         29 ,               1 ,[[41 30]]
         41 ,         21 ,               2 ,[[40 20] [42 20]]
         21 ,         10 ,               1 ,[[22 11]]
         27 ,         10 ,               1 ,[[29 10]]
         43 ,         17 ,               1 ,[[44 18]]
         14 ,          0 ,               1 ,[[14 2]]
         21 ,          4 ,               1 ,[[21 6]]
         28 ,         15 ,               1 ,[[27 14]]
         38 ,         49 ,               1 ,[[39 48]]
         50 ,         43 ,               1 ,[[50 45]]
         41 ,         27 ,               1 ,[[42 28]]
         48 ,         40 ,               1 ,[[50 40]]
         43 ,         16 ,               1 ,[[42 17]]
         23 ,          8 ,               2 ,[[23 10] [24 9]]
         48 ,         40 ,               1 ,[[50 40]]
         27 ,         23 ,               1 ,[[26 22]]
         33 ,         19 ,               1 ,[[32 18]]
          9 ,         34 ,               1 ,[[11 34]]
         33 ,         19 ,               1 ,[[32 18]]
         48 ,         41 ,               1 ,[[47 40]]
         14 ,          4 ,               1 ,[[13 3]]
         21 ,         28 ,               1 ,[[20 29]]
         39 ,         50 ,               1 ,[[40 49]]
         42 ,         29 ,               1 ,[[43 28]]
         43 ,         15 ,               1 ,[[44 16]]
         11 ,         41 ,               1 ,[[10 42]]
         48 ,         41 ,               1 ,[[47 40]]
         50 ,         50 ,               1 ,[[51 51]]
         12 ,         37 ,               1 ,[[11 36]]
         39 ,         28 ,               1 ,[[39 30]]
         30 ,         29 ,               1 ,[[32 29]]
         14 ,          5 ,               1 ,[[13 4]]
         42 ,         29 ,               1 ,[[43 28]]
         21 ,         27 ,               1 ,[[20 28]]
         50 ,         46 ,               1 ,[[49 47]]
         20 ,         13 ,               1 ,[[20 15]]
         40 ,         29 ,               1 ,[[41 28]]
         14 ,         14 ,               1 ,[[14 16]]
         43 ,         14 ,               1 ,[[44 15]]
         30 ,         36 ,               1 ,[[29 37]]
         20 ,         27 ,               1 ,[[22 27]]
         20 ,          9 ,               1 ,[[19 10]]
         48 ,         47 ,               1 ,[[49 48]]
         42 ,         29 ,               1 ,[[42 31]]
         29 ,         36 ,               1 ,[[31 36]]
         40 ,         37 ,               1 ,[[41 38]]
         17 ,          9 ,               1 ,[[18 8]]
         30 ,         29 ,               1 ,[[32 29]]
         16 ,         13 ,               1 ,[[16 15]]
         43 ,         23 ,               1 ,[[43 25]]
         20 ,         26 ,               1 ,[[19 27]]
         15 ,         42 ,               1 ,[[15 44]]
         13 ,         38 ,               1 ,[[13 40]]
         46 ,         47 ,               1 ,[[45 46]]
         50 ,         11 ,               1 ,[[51 10]]
         27 ,         35 ,               1 ,[[27 37]]
         43 ,         36 ,               1 ,[[43 38]]
         20 ,         26 ,               1 ,[[19 27]]
         48 ,         47 ,               1 ,[[49 48]]
         39 ,         47 ,               1 ,[[38 46]]
         43 ,         35 ,               1 ,[[42 36]]
         44 ,         30 ,               1 ,[[44 32]]
         19 ,          9 ,               1 ,[[21 9]]
         31 ,          4 ,               1 ,[[30 3]]
         38 ,         49 ,               1 ,[[39 48]]
         43 ,         40 ,               1 ,[[44 39]]
         17 ,         10 ,               1 ,[[18 9]]
         51 ,         13 ,               1 ,[[51 15]]
         33 ,         19 ,               1 ,[[32 18]]
         31 ,          5 ,               1 ,[[30 4]]
         20 ,         13 ,               1 ,[[20 15]]
         39 ,         40 ,               1 ,[[38 41]]
         19 ,         26 ,               1 ,[[19 28]]
         50 ,          1 ,               2 ,[[50 3] [51 2]]
         39 ,         50 ,               1 ,[[40 49]]
         39 ,         50 ,               1 ,[[40 49]]
         39 ,         39 ,               1 ,[[38 40]]
         11 ,          9 ,               1 ,[[13 9]]
         49 ,         18 ,               1 ,[[51 18]]
         29 ,          4 ,               1 ,[[28 5]]
         20 ,          9 ,               1 ,[[19 10]]
          7 ,         47 ,               1 ,[[9 47]]
         24 ,         11 ,               1 ,[[25 10]]
         50 ,          0 ,               2 ,[[49 1] [51 1]]
         39 ,         50 ,               1 ,[[40 49]]
         33 ,         19 ,               1 ,[[32 18]]
         49 ,          0 ,               1 ,[[51 0]]
         31 ,         13 ,               2 ,[[31 15] [30 14]]
         10 ,          8 ,               1 ,[[9 9]]
          7 ,         48 ,               1 ,[[6 47]]
         19 ,          9 ,               1 ,[[21 9]]
         49 ,         20 ,               1 ,[[50 19]]
         40 ,         29 ,               1 ,[[41 30]]
         39 ,         50 ,               1 ,[[40 49]]
         31 ,         22 ,               1 ,[[30 21]]
         41 ,          8 ,               1 ,[[43 8]]
         47 ,          1 ,               1 ,[[46 0]]
         11 ,          6 ,               2 ,[[11 8] [12 7]]
         23 ,          8 ,               2 ,[[23 10] [24 9]]
         48 ,         12 ,               1 ,[[50 12]]
         30 ,         22 ,               1 ,[[32 22]]
         41 ,         27 ,               1 ,[[42 28]]
         24 ,         43 ,               1 ,[[25 44]]
         47 ,          2 ,               1 ,[[46 1]]
         24 ,          8 ,               2 ,[[24 10] [25 9]]
         17 ,         30 ,               1 ,[[18 29]]
          8 ,         49 ,               1 ,[[8 51]]
         23 ,          8 ,               2 ,[[23 10] [24 9]]
         38 ,         10 ,               1 ,[[40 10]]
         50 ,         20 ,               2 ,[[50 22] [51 21]]
         15 ,         21 ,               1 ,[[14 22]]
         44 ,         23 ,               1 ,[[46 23]]
         31 ,         22 ,               1 ,[[30 23]]
         16 ,         30 ,               1 ,[[18 30]]
         48 ,          7 ,               1 ,[[49 6]]
         49 ,         24 ,               1 ,[[51 24]]
         12 ,         27 ,               1 ,[[11 28]]
         43 ,         36 ,               1 ,[[43 38]]
         15 ,         20 ,               1 ,[[14 21]]
         20 ,         26 ,               1 ,[[19 27]]
         44 ,         21 ,               1 ,[[45 22]]
         24 ,         24 ,               1 ,[[26 24]]
         11 ,         27 ,               1 ,[[13 27]]
         30 ,         22 ,               1 ,[[32 22]]
         38 ,         10 ,               1 ,[[40 10]]
         43 ,         35 ,               1 ,[[42 36]]
         20 ,         26 ,               1 ,[[19 27]]
         44 ,         37 ,               1 ,[[44 39]]
         24 ,         11 ,               1 ,[[25 10]]
         49 ,         33 ,               1 ,[[51 33]]
         50 ,         46 ,               1 ,[[49 47]]
         24 ,         23 ,               1 ,[[23 24]]
         14 ,         20 ,               1 ,[[16 20]]
          8 ,         49 ,               1 ,[[8 51]]
         41 ,         19 ,               1 ,[[42 18]]
         19 ,         26 ,               1 ,[[19 28]]
         29 ,         26 ,               1 ,[[28 25]]
         45 ,         41 ,               1 ,[[46 40]]
         28 ,         10 ,               1 ,[[29 11]]
         42 ,         29 ,               1 ,[[42 31]]
         49 ,         33 ,               1 ,[[51 33]]
         41 ,         20 ,               1 ,[[42 19]]
         14 ,         19 ,               1 ,[[13 20]]
         24 ,          8 ,               2 ,[[24 10] [25 9]]
         49 ,         33 ,               1 ,[[51 33]]
         49 ,         48 ,               1 ,[[48 47]]
         44 ,         39 ,               1 ,[[43 40]]
         27 ,         10 ,               1 ,[[29 10]]
         31 ,         17 ,               1 ,[[31 19]]
         19 ,         26 ,               1 ,[[19 28]]
         33 ,         19 ,               1 ,[[32 18]]
         42 ,         29 ,               1 ,[[43 28]]
          7 ,         51 ,               1 ,[[9 51]]
         41 ,         21 ,               2 ,[[40 20] [42 20]]
         14 ,         17 ,               1 ,[[13 16]]
         13 ,         19 ,               1 ,[[15 19]]
         25 ,         30 ,               1 ,[[26 29]]
         45 ,         41 ,               1 ,[[46 40]]
         32 ,         49 ,               2 ,[[31 48] [33 48]]
         49 ,          0 ,               1 ,[[48 1]]
         20 ,         26 ,               1 ,[[19 27]]
          7 ,         51 ,               1 ,[[9 51]]
         43 ,         15 ,               1 ,[[44 16]]
         51 ,          3 ,               1 ,[[51 5]]
         32 ,         18 ,               1 ,[[33 19]]
         17 ,         30 ,               1 ,[[18 29]]
         44 ,         44 ,               1 ,[[43 43]]
         25 ,         31 ,               1 ,[[26 30]]
         24 ,         37 ,               1 ,[[26 37]]
         51 ,          2 ,               1 ,[[50 3]]
         24 ,         11 ,               1 ,[[25 10]]
         27 ,         23 ,               1 ,[[26 22]]
         16 ,         30 ,               1 ,[[18 30]]
         12 ,         16 ,               1 ,[[11 17]]
         23 ,         34 ,               1 ,[[23 36]]
         47 ,          1 ,               1 ,[[46 0]]
         19 ,         17 ,               1 ,[[18 18]]
         24 ,         24 ,               1 ,[[26 24]]
         51 ,          9 ,               1 ,[[50 8]]
         20 ,         26 ,               1 ,[[19 27]]
         43 ,         14 ,               1 ,[[44 15]]
         47 ,          2 ,               1 ,[[46 1]]
         34 ,          0 ,               1 ,[[35 1]]
         22 ,         34 ,               1 ,[[21 33]]
         24 ,         23 ,               1 ,[[23 24]]
         49 ,          8 ,               1 ,[[48 9]]
         45 ,          9 ,               1 ,[[45 11]]
         33 ,          0 ,               1 ,[[35 0]]
         18 ,         23 ,               1 ,[[20 23]]
         24 ,         24 ,               1 ,[[26 24]]
         19 ,         16 ,               1 ,[[18 17]]
         24 ,         37 ,               1 ,[[26 37]]
         24 ,          8 ,               2 ,[[24 10] [25 9]]
         47 ,          1 ,               1 ,[[46 0]]
         46 ,          8 ,               1 ,[[46 10]]
         24 ,         11 ,               1 ,[[25 10]]
         51 ,         10 ,               1 ,[[50 11]]
         43 ,         14 ,               1 ,[[44 15]]
         15 ,         34 ,               1 ,[[16 33]]
         47 ,          2 ,               1 ,[[46 1]]
         24 ,         23 ,               1 ,[[23 24]]
         19 ,         26 ,               1 ,[[19 28]]
         32 ,          6 ,               1 ,[[31 5]]
         46 ,          7 ,               1 ,[[45 8]]
         49 ,          8 ,               1 ,[[48 9]]
         18 ,         21 ,               1 ,[[19 22]]
         15 ,         36 ,               1 ,[[16 35]]
         40 ,         14 ,               1 ,[[39 13]]
         24 ,         11 ,               1 ,[[25 10]]
         30 ,         44 ,               1 ,[[30 46]]
         46 ,          5 ,               1 ,[[45 6]]
         26 ,         32 ,               1 ,[[25 33]]
         29 ,         40 ,               1 ,[[30 41]]
         24 ,          8 ,               2 ,[[24 10] [25 9]]
         19 ,         26 ,               1 ,[[19 28]]
         14 ,         45 ,               1 ,[[15 46]]
         25 ,          8 ,               1 ,[[25 10]]
         19 ,         30 ,               1 ,[[20 31]]
         51 ,         30 ,               1 ,[[51 32]]
         39 ,         47 ,               1 ,[[38 46]]
         34 ,         33 ,               1 ,[[35 34]]
         22 ,         34 ,               1 ,[[21 33]]
         45 ,          7 ,               1 ,[[44 6]]
         24 ,         43 ,               1 ,[[25 44]]
         19 ,         26 ,               1 ,[[19 28]]
         15 ,         47 ,               1 ,[[16 46]]
         24 ,         11 ,               1 ,[[25 10]]
         39 ,         50 ,               1 ,[[40 49]]
         22 ,         41 ,               1 ,[[21 40]]
         45 ,         13 ,               1 ,[[46 14]]
         19 ,         29 ,               1 ,[[20 30]]
         28 ,          9 ,               1 ,[[27 8]]
         26 ,         32 ,               1 ,[[25 33]]
         22 ,         49 ,               1 ,[[24 49]]
         21 ,         41 ,               1 ,[[20 40]]
         45 ,         12 ,               1 ,[[46 13]]
         45 ,         19 ,               1 ,[[46 20]]
         15 ,         48 ,               1 ,[[14 47]]
         34 ,         33 ,               1 ,[[35 34]]
         19 ,         46 ,               1 ,[[18 45]]
         13 ,         22 ,               1 ,[[13 24]]
         25 ,          8 ,               1 ,[[25 10]]
         48 ,         12 ,               1 ,[[50 12]]
         47 ,         18 ,               1 ,[[48 19]]
         27 ,         38 ,               1 ,[[26 37]]
         14 ,         48 ,               1 ,[[16 48]]
         21 ,         47 ,               1 ,[[22 46]]
         14 ,         21 ,               1 ,[[13 22]]
         22 ,         30 ,               1 ,[[23 31]]
         19 ,         26 ,               1 ,[[19 28]]
         25 ,          8 ,               1 ,[[25 10]]
         14 ,         49 ,               2 ,[[14 51] [13 50]]
         45 ,         19 ,               1 ,[[46 20]]
         20 ,         47 ,               1 ,[[20 49]]
         22 ,         29 ,               1 ,[[21 30]]
         14 ,         20 ,               1 ,[[13 21]]
         23 ,         50 ,               1 ,[[22 51]]
          6 ,         33 ,               1 ,[[8 33]]
         13 ,         49 ,               1 ,[[15 49]]
         14 ,         19 ,               1 ,[[13 20]]
         12 ,         16 ,               1 ,[[11 17]]
         18 ,         20 ,               1 ,[[17 19]]
         27 ,         35 ,               1 ,[[27 37]]
         24 ,         14 ,               1 ,[[23 13]]
         24 ,         11 ,               1 ,[[25 10]]
         41 ,         19 ,               1 ,[[42 18]]
         19 ,         26 ,               1 ,[[19 28]]
         47 ,         18 ,               1 ,[[48 19]]
         22 ,         28 ,               1 ,[[21 29]]
         31 ,         51 ,               1 ,[[33 51]]
         48 ,         12 ,               1 ,[[50 12]]
         20 ,         23 ,               1 ,[[21 24]]
         24 ,         37 ,               1 ,[[26 37]]
         32 ,         38 ,               1 ,[[31 37]]
         13 ,         47 ,               1 ,[[14 48]]
         25 ,          8 ,               1 ,[[25 10]]
         22 ,         41 ,               1 ,[[21 40]]
         48 ,         18 ,               1 ,[[48 20]]
         30 ,         42 ,               1 ,[[31 41]]
         31 ,         51 ,               1 ,[[33 51]]
         13 ,         19 ,               1 ,[[15 19]]
         41 ,         20 ,               1 ,[[42 19]]
         22 ,         45 ,               1 ,[[22 47]]
         17 ,          9 ,               1 ,[[18 8]]
         21 ,         23 ,               1 ,[[21 25]]
         45 ,         19 ,               1 ,[[46 20]]
         24 ,         11 ,               1 ,[[25 10]]
         31 ,         39 ,               1 ,[[30 38]]
         24 ,         43 ,               1 ,[[25 44]]
         17 ,         10 ,               1 ,[[18 9]]
         21 ,         41 ,               1 ,[[20 40]]
         21 ,         27 ,               1 ,[[20 28]]
         30 ,         50 ,               1 ,[[31 49]]
         41 ,         21 ,               2 ,[[40 20] [42 20]]
         23 ,         50 ,               1 ,[[22 51]]
         20 ,         47 ,               1 ,[[20 49]]
         25 ,          8 ,               1 ,[[25 10]]
         21 ,         26 ,               1 ,[[22 25]]
         14 ,         20 ,               1 ,[[13 21]]
         20 ,         27 ,               1 ,[[22 27]]
         27 ,         38 ,               1 ,[[26 37]]
         47 ,         18 ,               1 ,[[48 19]]
         31 ,         51 ,               1 ,[[33 51]]
         20 ,         26 ,               1 ,[[19 27]]
         29 ,          4 ,               1 ,[[28 5]]
         14 ,         14 ,               1 ,[[14 16]]
         24 ,         24 ,               1 ,[[26 24]]
         48 ,         40 ,               1 ,[[50 40]]
         42 ,         28 ,               1 ,[[41 27]]
         14 ,         19 ,               1 ,[[13 20]]
         45 ,         37 ,               2 ,[[44 36] [46 36]]
         28 ,         18 ,               1 ,[[29 17]]
         24 ,         25 ,               1 ,[[24 27]]
         51 ,         23 ,               1 ,[[51 25]]
         16 ,         13 ,               1 ,[[16 15]]
         29 ,          4 ,               1 ,[[28 5]]
         46 ,         38 ,               1 ,[[47 37]]
         29 ,         19 ,               1 ,[[30 18]]
         24 ,         23 ,               1 ,[[23 24]]
         42 ,         29 ,               1 ,[[43 28]]
         47 ,         45 ,               2 ,[[47 47] [46 46]]
         46 ,         44 ,               2 ,[[46 46] [47 45]]
         40 ,         23 ,               1 ,[[40 25]]
         30 ,         47 ,               2 ,[[30 49] [29 48]]
         20 ,         26 ,               1 ,[[19 27]]
         13 ,         19 ,               1 ,[[15 19]]
         49 ,          8 ,               1 ,[[48 9]]
         48 ,         41 ,               1 ,[[47 40]]
         12 ,         16 ,               1 ,[[11 17]]
         44 ,          7 ,               1 ,[[43 6]]
         30 ,         15 ,               1 ,[[32 15]]
         24 ,         24 ,               1 ,[[23 25]]
         48 ,          8 ,               1 ,[[47 9]]
         43 ,         35 ,               1 ,[[42 36]]
         30 ,         47 ,               1 ,[[29 46]]
         36 ,         40 ,               1 ,[[38 40]]
         20 ,         26 ,               1 ,[[19 27]]
         29 ,         47 ,               1 ,[[31 47]]
         29 ,         47 ,               1 ,[[31 47]]
         17 ,         19 ,               1 ,[[18 20]]
         50 ,         46 ,               1 ,[[49 47]]
         47 ,         18 ,               1 ,[[48 19]]
         27 ,         47 ,               1 ,[[27 49]]
         15 ,         27 ,               1 ,[[16 28]]
         23 ,         24 ,               1 ,[[24 23]]
         43 ,         36 ,               1 ,[[43 38]]
         24 ,         23 ,               1 ,[[23 24]]
         32 ,         24 ,               1 ,[[33 23]]
         25 ,          8 ,               1 ,[[25 10]]
         49 ,         48 ,               1 ,[[48 47]]
         48 ,          8 ,               1 ,[[47 9]]
         21 ,         28 ,               1 ,[[20 29]]
         46 ,         38 ,               1 ,[[47 37]]
         48 ,         18 ,               1 ,[[48 20]]
         43 ,         35 ,               1 ,[[42 36]]
         31 ,         25 ,               1 ,[[30 24]]
         21 ,         27 ,               1 ,[[20 28]]
         26 ,         26 ,               1 ,[[26 28]]
         17 ,         30 ,               1 ,[[18 29]]
         27 ,         47 ,               1 ,[[27 49]]
         47 ,         18 ,               1 ,[[48 19]]
         49 ,         48 ,               1 ,[[48 47]]
         39 ,         40 ,               1 ,[[38 41]]
         24 ,         25 ,               1 ,[[24 27]]
         48 ,         47 ,               1 ,[[49 48]]
         49 ,          8 ,               1 ,[[48 9]]
         25 ,         25 ,               1 ,[[24 26]]
         33 ,         24 ,               1 ,[[34 25]]
         27 ,         38 ,               1 ,[[26 37]]
         24 ,         24 ,               1 ,[[23 25]]
         20 ,         27 ,               1 ,[[22 27]]
         48 ,         18 ,               1 ,[[48 20]]
         39 ,         39 ,               1 ,[[38 40]]
         48 ,         18 ,               1 ,[[48 20]]
         46 ,         47 ,               1 ,[[45 46]]
         16 ,         30 ,               1 ,[[18 30]]
         51 ,         17 ,               1 ,[[51 19]]
         31 ,         39 ,               1 ,[[30 38]]
         35 ,          0 ,               1 ,[[35 2]]
         24 ,         23 ,               1 ,[[23 24]]
         20 ,         26 ,               1 ,[[19 27]]
         48 ,         47 ,               1 ,[[49 48]]
         47 ,          8 ,               1 ,[[47 10]]
         32 ,         24 ,               1 ,[[33 23]]
         43 ,         36 ,               1 ,[[43 38]]
         47 ,          8 ,               1 ,[[47 10]]
         27 ,         47 ,               1 ,[[27 49]]
         43 ,         35 ,               1 ,[[42 36]]
         48 ,          8 ,               1 ,[[47 9]]
         23 ,         27 ,               1 ,[[25 27]]
         15 ,         46 ,               2 ,[[14 45] [16 45]]
         21 ,         28 ,               1 ,[[20 29]]
         15 ,         47 ,               1 ,[[16 46]]
         48 ,          8 ,               1 ,[[47 9]]
         25 ,         24 ,               2 ,[[24 25] [26 25]]
         15 ,         39 ,               1 ,[[16 38]]
         23 ,         27 ,               1 ,[[25 27]]
         43 ,         33 ,               1 ,[[42 32]]
         17 ,         45 ,               1 ,[[18 46]]
         29 ,          4 ,               1 ,[[28 5]]
         48 ,         18 ,               1 ,[[48 20]]
         31 ,         25 ,               1 ,[[30 24]]
         47 ,          8 ,               1 ,[[47 10]]
         18 ,         48 ,               1 ,[[19 47]]
         31 ,         51 ,               1 ,[[33 51]]
         21 ,         27 ,               1 ,[[20 28]]
         14 ,         17 ,               1 ,[[13 16]]
         19 ,         11 ,               1 ,[[18 12]]
         33 ,         24 ,               1 ,[[34 25]]
         17 ,         30 ,               1 ,[[18 29]]
         18 ,         49 ,               1 ,[[19 48]]
         29 ,         19 ,               1 ,[[30 18]]
         47 ,          8 ,               1 ,[[47 10]]
         15 ,         48 ,               1 ,[[14 47]]
         19 ,         26 ,               1 ,[[19 28]]
         18 ,         50 ,               1 ,[[17 49]]
         16 ,          1 ,               1 ,[[15 0]]
         45 ,         41 ,               1 ,[[46 40]]
         16 ,         30 ,               1 ,[[18 30]]
         12 ,         16 ,               1 ,[[11 17]]
         15 ,          3 ,               1 ,[[16 2]]
         15 ,         48 ,               1 ,[[16 49]]
         46 ,         22 ,               1 ,[[46 24]]
         20 ,         27 ,               1 ,[[22 27]]
         14 ,         48 ,               1 ,[[16 48]]
         16 ,         46 ,               1 ,[[15 47]]
         12 ,         16 ,               1 ,[[11 17]]
         24 ,         24 ,               1 ,[[26 24]]
         31 ,         17 ,               1 ,[[31 19]]
         13 ,         47 ,               1 ,[[14 48]]
         20 ,         26 ,               1 ,[[19 27]]
         47 ,         38 ,               1 ,[[48 39]]
         14 ,         48 ,               1 ,[[16 48]]
         20 ,         47 ,               1 ,[[20 49]]
         32 ,         14 ,               1 ,[[32 16]]
         14 ,         48 ,               1 ,[[13 47]]
         20 ,         47 ,               1 ,[[20 49]]
         30 ,         50 ,               1 ,[[31 49]]
         18 ,         15 ,               2 ,[[18 17] [19 16]]
         33 ,         12 ,               1 ,[[33 14]]
         24 ,         25 ,               1 ,[[24 27]]
         17 ,         45 ,               1 ,[[18 46]]
         24 ,         24 ,               1 ,[[23 25]]
         27 ,         47 ,               1 ,[[27 49]]
         47 ,         37 ,               1 ,[[46 38]]
         36 ,          1 ,               1 ,[[37 2]]
         16 ,         48 ,               1 ,[[16 50]]
         17 ,         25 ,               1 ,[[16 26]]
         24 ,         23 ,               1 ,[[23 24]]
         17 ,         15 ,               1 ,[[19 15]]
         31 ,         51 ,               1 ,[[33 51]]
         18 ,         48 ,               1 ,[[19 47]]
         34 ,         25 ,               1 ,[[33 24]]
         20 ,         26 ,               1 ,[[19 27]]
         24 ,         24 ,               1 ,[[23 25]]
         15 ,         21 ,               1 ,[[14 22]]
         39 ,         40 ,               1 ,[[38 41]]
         19 ,         26 ,               1 ,[[19 28]]
         31 ,         17 ,               1 ,[[31 19]]
         37 ,          1 ,               1 ,[[38 2]]
         24 ,         23 ,               1 ,[[23 24]]
         15 ,         21 ,               1 ,[[14 22]]
         39 ,         39 ,               1 ,[[38 40]]
         32 ,         18 ,               1 ,[[33 19]]
         19 ,         26 ,               1 ,[[19 28]]
         18 ,         49 ,               1 ,[[19 48]]
         15 ,         20 ,               1 ,[[14 21]]
         15 ,         20 ,               1 ,[[14 21]]
         31 ,         51 ,               1 ,[[33 51]]
         18 ,         50 ,               1 ,[[17 49]]
         21 ,         28 ,               1 ,[[20 29]]
         17 ,         23 ,               1 ,[[18 24]]
         27 ,         34 ,               1 ,[[26 33]]
         14 ,         20 ,               1 ,[[16 20]]
         24 ,         25 ,               1 ,[[24 27]]
         47 ,         38 ,               1 ,[[48 39]]
         34 ,         25 ,               1 ,[[33 24]]
         14 ,         20 ,               1 ,[[16 20]]
         24 ,         23 ,               1 ,[[23 24]]
         21 ,         27 ,               1 ,[[20 28]]
         14 ,         19 ,               1 ,[[13 20]]
         17 ,          5 ,               1 ,[[17 7]]
         32 ,         18 ,               1 ,[[33 19]]
         20 ,         26 ,               1 ,[[19 27]]
         47 ,         37 ,               1 ,[[46 38]]
         21 ,         28 ,               1 ,[[20 29]]
         33 ,         15 ,               1 ,[[33 17]]
         20 ,         27 ,               1 ,[[22 27]]
         15 ,          3 ,               1 ,[[16 2]]
         24 ,         24 ,               1 ,[[23 25]]
         22 ,         41 ,               1 ,[[21 40]]
         14 ,         19 ,               1 ,[[13 20]]
         29 ,         33 ,               1 ,[[29 35]]
         13 ,         19 ,               1 ,[[15 19]]
         21 ,         27 ,               1 ,[[20 28]]
         43 ,          5 ,               1 ,[[43 7]]
         18 ,         43 ,               1 ,[[18 45]]
         19 ,         26 ,               1 ,[[19 28]]
         33 ,         14 ,               1 ,[[34 15]]
         43 ,         42 ,               1 ,[[42 43]]
         20 ,         27 ,               1 ,[[22 27]]
         15 ,         48 ,               1 ,[[14 47]]
         26 ,         32 ,               1 ,[[25 33]]
         15 ,         42 ,               1 ,[[15 44]]
         13 ,         19 ,               1 ,[[15 19]]
         48 ,         12 ,               1 ,[[50 12]]
         20 ,         26 ,               1 ,[[19 27]]
         24 ,         23 ,               1 ,[[23 24]]
         16 ,         13 ,               1 ,[[16 15]]
         18 ,          2 ,               1 ,[[17 1]]
         20 ,         26 ,               1 ,[[19 27]]
         20 ,         26 ,               1 ,[[19 27]]
         23 ,         27 ,               1 ,[[25 27]]
         18 ,          3 ,               2 ,[[17 2] [19 2]]
         24 ,         24 ,               1 ,[[23 25]]
         17 ,         18 ,               1 ,[[16 17]]
         48 ,         12 ,               1 ,[[50 12]]
         24 ,         28 ,               1 ,[[25 29]]
         14 ,         21 ,               1 ,[[13 22]]
         20 ,         26 ,               1 ,[[19 27]]
         20 ,         26 ,               1 ,[[19 27]]
         43 ,         41 ,               1 ,[[42 42]]
         42 ,         33 ,               1 ,[[41 32]]
         47 ,         18 ,               1 ,[[48 19]]
         17 ,         18 ,               1 ,[[16 17]]
         23 ,         27 ,               1 ,[[25 27]]
         14 ,         48 ,               1 ,[[16 48]]
         44 ,          7 ,               1 ,[[43 6]]
         17 ,         19 ,               1 ,[[18 20]]
         23 ,         27 ,               1 ,[[25 27]]
         24 ,         23 ,               1 ,[[23 24]]
         14 ,         20 ,               1 ,[[13 21]]
         47 ,         38 ,               1 ,[[48 39]]
         19 ,         26 ,               1 ,[[19 28]]
         17 ,         19 ,               1 ,[[18 20]]
         48 ,         18 ,               1 ,[[48 20]]
         20 ,         26 ,               1 ,[[19 27]]
         20 ,         26 ,               1 ,[[19 27]]
         48 ,         12 ,               1 ,[[50 12]]
         14 ,         21 ,               1 ,[[13 22]]
         19 ,         26 ,               1 ,[[19 28]]
         47 ,         37 ,               1 ,[[46 38]]
         14 ,         19 ,               1 ,[[13 20]]
         20 ,         47 ,               1 ,[[20 49]]
         48 ,         41 ,               1 ,[[47 40]]
         17 ,         18 ,               1 ,[[16 17]]
         46 ,         47 ,               1 ,[[45 46]]
         19 ,         26 ,               1 ,[[19 28]]
         20 ,         26 ,               1 ,[[19 27]]
         19 ,         26 ,               1 ,[[19 28]]
         19 ,         26 ,               1 ,[[19 28]]
         48 ,         12 ,               1 ,[[50 12]]
         13 ,         19 ,               1 ,[[15 19]]
         19 ,         26 ,               1 ,[[19 28]]
         48 ,         41 ,               1 ,[[47 40]]
         20 ,         26 ,               1 ,[[19 27]]
         14 ,         20 ,               1 ,[[13 21]]
